lang,libro,capitulo,versiculo,texto
ncx,%c3%89xodo,34,5,Ijkuakon Jehová otemok itech mixtli uan ompa omoka inauak Moisés uan Jehová okitematilti itoka.
es,%c3%89xodo,34,5,"Entonces Jehová bajó en la nube y se colocó allí junto a Moisés, y Jehová proclamó su propio nombre."
ncx,%c3%89xodo,34,6,"Jehová ixpan opanotia uan okijtouaya: “Jehová, Jehová, se Dios tlen teiknomati uan yolkuali, kimati mochia, tetlasojtla uan amo tekaua, nochipa kijtoua tlen melauak,"
es,%c3%89xodo,34,6,"Jehová fue pasando delante de él y proclamando: “Jehová, Jehová, un Dios misericordioso y compasivo, paciente y lleno de amor leal y verdad,"
ncx,%c3%89xodo,34,7,"kiteititia nochipa kintlasojtla miakej, kintlapojpoluia akinmej motlapololtiaj, akinmej itlaj kitetoktiaj uan akinmej tlajtlakolchiuaj. Pero ye kichiua makitlaxtlaua itlajtlakol akin okichi tlen amo kuali uan kitekauilia matlajyouikan tekoneuan, teixuiuan uan inkoneuan inmixuiuan por tlen okichijkej inpapanuan”."
es,%c3%89xodo,34,7,"que demuestra amor leal a miles, que perdona errores, ofensas y pecados, pero que jamás deja sin castigo al culpable y hace que el castigo por el error de los padres recaiga sobre los hijos y los nietos, sobre la tercera generación y sobre la cuarta generación”."
ncx,%c3%89xodo,34,8,San niman Moisés omotlankuaketski uan omoixtlapacho.
es,%c3%89xodo,34,8,"Enseguida, Moisés se inclinó hasta el suelo y se postró."
ncx,%c3%89xodo,34,9,"Ye okijto: “Jehová, touan xio tla techselia. Nimitstlatlaujtia Jehová, touan xio maski tejuan se altepetl yoltlakuauak, techtlapojpolui porque otimotlapololtijkej uan otitlajtlakolchijkej uan techseli para matiyetokan moaxkauan”."
es,%c3%89xodo,34,9,"Y dijo: “Jehová, si tengo tu aprobación, acompáñanos. Por favor, Jehová, acompáñanos aunque seamos un pueblo terco, perdona nuestro error y nuestro pecado y acéptanos como tu propiedad”."
ncx,%c3%89xodo,34,10,"Ye okinankili: “Namouan nikchiuas se acuerdo, ixpan nochi altepetl nikchiuas uejueyij tlamantli tlen amo keman mochiua ipan nochi tlaltikpak nion itech altepemej, uan nochi altepemej ik kanin nanchantiskej kitaskej tlen Jehová kichiuas, porque namouan nikchiuas itlaj tetlajtlachialti”."
es,%c3%89xodo,34,10,"Él respondió: “Voy a hacer un pacto con ustedes: haré cosas maravillosas delante de todo el pueblo, cosas que nunca se han hecho en toda la tierra o entre las naciones, y todos los pueblos entre los que ustedes vivan verán la obra de Jehová, porque voy a hacer con ustedes algo impresionante."
ncx,%c3%89xodo,34,11,"“Kuali xikinkaki nochi tlanauatilmej tlen axkan nimitsinmakas. Moixpan nikinkixtis amorreos, cananeos, hititas, perizitas, heveos uan jebuseos."
es,%c3%89xodo,34,11,"”Presta atención a todos los mandatos que hoy voy a darte. Voy a expulsar delante de ti a los amorreos, los cananeos, los hititas, los perizitas, los heveos y los jebuseos."
ncx,%c3%89xodo,34,12,"Ximomalui para amo tikchiuas se acuerdo inuan akinmej chantij itech tlali kanin tias, porque non xamo uelis mokopas se trampa para te."
es,%c3%89xodo,34,12,"Ten cuidado de no hacer ningún pacto con los habitantes de la tierra a la que vas, no sea que esto se convierta en una trampa para ti."
ncx,%c3%89xodo,34,13,"Namejuan moneki nankintlamotlaskej inmialtares, nankinxixiniskej intlaketsaluan tlen kinueyichiuaj uan nankintekistej kojmej tlen kinueyichiuaj."
es,%c3%89xodo,34,13,"Más bien, ustedes deben derribar sus altares, destrozar sus columnas sagradas y cortar sus postes sagrados."
ncx,%c3%89xodo,34,14,"Amo ximotlankuaketsa ixpan okse dios, porque Jehová moixmati ken akin kineki san ye makiueyichiuakan. Ye se Dios tlen kineki san ye makiueyichiuakan."
es,%c3%89xodo,34,14,"No te inclines ante otro dios, pues a Jehová se le conoce como aquel que exige devoción exclusiva. Sí, él es un Dios que exige devoción exclusiva."
ncx,%c3%89xodo,34,15,"Ximomalui para amo tikchiuas se acuerdo inuan akinmej chantij itech non tlali, porque ijkuak yejuan kinueyichiuaskej indioses uan kinmakaskej intetliokolil, ikaj namechyoleuas uan namejuan nankikuaskej tlen okitemakakej."
es,%c3%89xodo,34,15,"Ten cuidado de no hacer ningún pacto con los habitantes de esa tierra, porque, cuando ellos se prostituyan adorando a sus dioses y les hagan sacrificios, alguno los invitará y ustedes comerán del sacrificio."
ncx,%c3%89xodo,34,16,"Uan satepan tikinnamiktis motelpochuan inuan inmichpochuan, uan yejuan kinueyichiuaskej indioses uan kichiuaskej namokoneuan noijki makinueyichiuakan indioses”."
es,%c3%89xodo,34,16,"Y luego casarás a tus hijos con las hijas de ellos, y ellas se prostituirán adorando a sus dioses y harán que tus hijos también se prostituyan adorando a los dioses de ellas."
ncx,%c3%89xodo,34,17,“Amo xikpatilti tepostli para tikinchiuas dioses”.
es,%c3%89xodo,34,17,”No hagas dioses de metal fundido.
ncx,%c3%89xodo,34,18,"“Moneki tikchiuas iluitl ijkuak nankikuaskej pan tlen amo kipia levadura. Moneki tikkuas pan tlen amo kipia levadura ijkon ken ne onimitsnauati. Ijkon tikchiuas chikome tonal itech metstli abib, itech tonalmej tlen yonikijto, porque itech metstli abib otikiski Egipto”."
es,%c3%89xodo,34,18,"”Debes celebrar la Fiesta de los Panes Sin Levadura. Tienes que comer pan sin levadura, tal como yo te ordené. Lo harás durante siete días en la fecha fijada del mes de abib, porque en el mes de abib saliste de Egipto."
ncx,%c3%89xodo,34,19,"“Noaxkauan nochtin tlakamej tlen achto oneskej. Noijki noaxkauan yolkamej okichtin tlen achto oneskej, inkoneuan vacas uan inkoneuan ichkamej."
es,%c3%89xodo,34,19,"”Todos los primogénitos varones son míos. También son míos todos los primogénitos machos del ganado, tanto de las vacas como de las ovejas."
ncx,%c3%89xodo,34,20,"Pero ikone se burro tlen achto oneski, moneki tikpatkayotis ika se ichka. Pero tla amo tikpatkayotis, moneki tikkechpostekis. Noijki moneki itlaj tiktemakas para tikinmakixtis achto inkoneuan mokoneuan. Amikaj san mapijpilkatias ijkuak yas noixpan”."
es,%c3%89xodo,34,20,"En el caso del primogénito de un burro, tienes que pagar con una oveja para rescatarlo. Pero, si no vas a pagar por él, debes romperle el cuello. Además, tienes que pagar un rescate por todos los primogénitos de tus hijos. Nadie debe presentarse ante mí con las manos vacías."
ncx,%c3%89xodo,34,21,"“Chikuase tonal titekipanos pero tonal chikome timoseuis, timoseuis maski monekis titlaxouas noso tikololos tlen tiktokas”."
es,%c3%89xodo,34,21,"”Trabajarás por seis días, pero el séptimo día descansarás, incluso en la época de arar o de cosechar."
ncx,%c3%89xodo,34,22,“Tikchiuas iluitl Semanas ijkuak tiktemakas trigo tlen tikololos uan tlen achto chikauas. Noijki itlamian xiuitl tikchiuas iluitl ijkuak tlatekij”.
es,%c3%89xodo,34,22,"”Celebrarás la Fiesta de las Semanas ofreciendo los primeros frutos maduros de la cosecha del trigo, y celebrarás la Fiesta de la Recolección al terminar el año."
ncx,%c3%89xodo,34,23,"“Nochtin tlakamej tlen mouan katej, sejse xiuitl yaskej eyi uelta ixpan akin melauak namoTeko Jehová, iDios Israel."
es,%c3%89xodo,34,23,"”Todos tus varones se presentarán tres veces al año ante el Señor verdadero, Jehová, el Dios de Israel."
ncx,%c3%89xodo,34,24,Ne moixpan nikinkixtis altepemej uan nikueyitilis motlal. Amikaj kinekis kimoaxkatis motlal ijkuak tias eyi uelta se xiuitl tikitati ixko Jehová moDios”.
es,%c3%89xodo,34,24,Pues expulsaré delante de ti a las naciones y extenderé tu territorio. Nadie querrá apoderarse de tu tierra cuando subas a ver el rostro de Jehová tu Dios tres veces al año.
ncx,%c3%89xodo,34,25,“Amo techmaka ieso yolkatl tlen techtliokolis iuan itlaj tlen kipia levadura. Amo mamotlati hasta mostlatika inakayo yolkatl tlen kimiktiaj itech iluitl Pascua”.
es,%c3%89xodo,34,25,”No ofrezcas la sangre de mi sacrificio junto con algo que tenga levadura. El sacrificio de la fiesta de la Pascua no debe guardarse hasta la mañana siguiente.
ncx,%c3%89xodo,34,26,“Tikuikas ikalijtik Jehová moDios tlen okachi kuajkuali uan tlen achto chikauas motlala”. “Amo xikposoni se tentsojkonetl ijtik ileche imama”.
es,%c3%89xodo,34,26,”Traerás lo mejor de los primeros frutos maduros de tu suelo a la casa de Jehová tu Dios. ”No hiervas un cabrito en la leche de su madre”.
ncx,%c3%89xodo,34,27,"Uan Jehová ok okilui Moisés: “Xikijkuilo ninmej tlajtolmej, porque mouan nikchijtok se acuerdo uan noijki iuan Israel ijkon ken onikijto”."
es,%c3%89xodo,34,27,"Y Jehová siguió diciéndole a Moisés: “Escribe estas palabras, porque estoy celebrando un pacto contigo y con Israel de acuerdo con estas palabras”."
ncx,%c3%89xodo,34,28,"Uan Moisés ompa omoka iuan Jehová cuarenta tonal uan cuarenta youak. Amo otlakua nion oatlik. Uan ye okijkuilo acuerdo ipan temej melaktikej, nin kijtosneki Majtlaktli Tlanauatilmej."
es,%c3%89xodo,34,28,"Y Moisés se quedó allí con Jehová durante 40 días y 40 noches. No comió pan ni bebió agua. Y él escribió en las tablas las palabras del pacto, es decir, los Diez Mandamientos."
ncx,%c3%89xodo,34,29,Satepan Moisés otemok itech tepetl Sinaí uan okinkitskijtiaya ome temej kanin oijkuilitokaj tlanauatilmej. Ye amo okimatiaya pero ixko opetlaniaya porque omotlapoui iuan toTajtsin Dios.
es,%c3%89xodo,34,29,"Después, Moisés bajó del monte Sinaí con las dos tablas del Testimonio en la mano. Como había estado hablando con Dios, la piel de su rostro emitía rayos, pero él no lo sabía."
ncx,%c3%89xodo,34,30,"Ijkuak Aarón uan nochtin israelitas okitakej Moisés, okitakej ixko opetlaniaya ikinon omomojtijkej inauak motokiskej."
es,%c3%89xodo,34,30,"Cuando Aarón y todos los israelitas vieron a Moisés, se dieron cuenta de que la piel de su rostro emitía rayos. Así que les dio miedo acercarse a él."
ncx,%c3%89xodo,34,31,Pero Moisés okinnotski ikinon omotokijkej Aarón uan nochtin akinmej okinyekanayaj israelitas uan inuan omotlapoui.
es,%c3%89xodo,34,31,"Pero Moisés los llamó, de modo que Aarón y todos los jefes del pueblo se le acercaron. Luego habló con ellos."
ncx,%c3%89xodo,34,32,Satepan omotokijkej nochtin israelitas uan ye okinmilui nochi tlanauatilmej tlen Jehová okimakak ipan tepetl Sinaí.
es,%c3%89xodo,34,32,"Después se le acercaron todos los israelitas, y él les transmitió todos los mandamientos que Jehová le había dado en el monte Sinaí."
ncx,%c3%89xodo,34,33,"Ijkuak Moisés yokintlapouijka, omixtlakentiaya ika se tsotsoli."
es,%c3%89xodo,34,33,"Cuando Moisés terminaba de hablar con ellos, se cubría el rostro con un velo."
ncx,%c3%89xodo,34,34,"Pero ijkuak Moisés oyaya ixpan Jehová para iuan motlapouis, okimokixtiliaya tsotsoli hasta ijkuak okisaya. Ijkuak okisaya, okinmiluiaya israelitas tlanauatilmej tlen okimakakej."
es,%c3%89xodo,34,34,"Pero, cuando Moisés se presentaba ante Jehová para hablar con él, se quitaba el velo hasta que salía. Cuando salía, les decía a los israelitas los mandatos que había recibido."
ncx,%c3%89xodo,34,35,Israelitas okitayaj ixko Moisés opetlaniaya. Ikinon Moisés oksepa omixtlakentiaya ika tsotsoli uan amo okimokixtiliaya hasta ijkuak omokopaya motlapouiti iuan toTajtsin Dios.
es,%c3%89xodo,34,35,Y los israelitas veían que la piel del rostro de Moisés emitía rayos. Entonces Moisés volvía a cubrirse el rostro con el velo y se lo dejaba puesto hasta que regresaba a hablar con Dios.
ncx,%c3%89xodo,35,1,Satepan Moisés okinechiko nochi altepetl Israel uan okijto: “Nin tlen Jehová otlanauati mamochiua:
es,%c3%89xodo,35,1,"Más tarde, Moisés reunió a todo el pueblo de Israel y dijo: “Esto es lo que Jehová ha mandado hacer:"
ncx,%c3%89xodo,35,2,"uelis nantekipanoskej chikuase tonal pero tonal chikome yetos santo para namejuan, yetos se sábado para nanmoseuiskej uan nankiueyichiuaskej Jehová. Tla ikaj tekipanoua sábado, moneki kimiktiskej."
es,%c3%89xodo,35,2,"pueden trabajar durante seis días, pero el séptimo día será santo para ustedes; será un sábado de descanso completo dedicado a Jehová. Si alguien trabaja en sábado, tiene que morir."
ncx,%c3%89xodo,35,3,Amo xikxotlaltikan tlitl namokalijtik tonal sábado”.
es,%c3%89xodo,35,3,No enciendan fuego en ninguna de sus casas el sábado”.
ncx,%c3%89xodo,35,4,Satepan Moisés okilui nochi altepetl Israel: “Nin tlen Jehová otlanauati:
es,%c3%89xodo,35,4,Luego Moisés le dijo a todo el pueblo de Israel: “Esto es lo que Jehová ha mandado:
ncx,%c3%89xodo,35,5,"‘Nannochtin xikololokan seki tlamantli para Jehová. Akin kinekis ika nochi iyolo makiualika seki tlamantli para Jehová: oro, plata, cobre,"
es,%c3%89xodo,35,5,"‘Reúnan entre todos una contribución para Jehová. Que todo el que lo desee de corazón traiga una contribución para Jehová: oro, plata, cobre,"
ncx,%c3%89xodo,35,6,"hilo azul, ichkatsojmitl morado, hilo chichiltik tlen petlani, lino tlen okachi kuali, itsojmio tentso,"
es,%c3%89xodo,35,6,"hilo azul, lana púrpura, hilo rojo escarlata, lino fino, pelo de cabra,"
ncx,%c3%89xodo,35,7,"inmieuayo ichkamej tlen chichiltik kintlapaluiaj, inmieuayo focas, acaciakouitl,"
es,%c3%89xodo,35,7,"pieles de carnero teñidas de rojo, pieles de foca, madera de acacia,"
ncx,%c3%89xodo,35,8,"aceite para tlauiskej, bálsamo para kichiuaskej aceite santo uan kopali ajuiak,"
es,%c3%89xodo,35,8,"aceite para las lámparas y bálsamo para el aceite de la unción y para el incienso aromático,"
ncx,%c3%89xodo,35,9,noijki temej de ónice uan okseki temej para kitlaliliskej efod uan elpantlakemitl’”.
es,%c3%89xodo,35,9,así como piedras de ónice y otras piedras para ponérselas al efod y al pectoral.
ncx,%c3%89xodo,35,10,“‘Maualakan nochtin akinmej kimatij tekipanoskej tlen namouan katej uan makichiuakan nochi tlen Jehová otlanauati:
es,%c3%89xodo,35,10,”’Que vengan todas las personas hábiles que haya entre ustedes y que hagan todo lo que Jehová ha mandado:
ncx,%c3%89xodo,35,11,"tabernáculo uan tsotsoltin tlen ikpak kitlaliskej, tsotsoltin tlen ika motsakuas, ibroches uan imarcos, kojmej, itlaketsaluan uan kanin motlakxilijtos,"
es,%c3%89xodo,35,11,"el tabernáculo con su tienda y su cubierta, sus broches y sus armazones, sus barras, sus columnas y sus bases;"
ncx,%c3%89xodo,35,12,"Arca, tlakomej tlen kinpias uan itentsakayo, tsotsoli tilauak tlen tlaxelos,"
es,%c3%89xodo,35,12,"el Arca con sus varas y su cubierta, y la cortina de separación;"
ncx,%c3%89xodo,35,13,"mesa, tlakomej tlen kinpias, nochi tlen ompa monejnekis uan pan tlen motemakas tlaixpan,"
es,%c3%89xodo,35,13,"la mesa, sus varas, todos sus utensilios y el pan de la presencia;"
ncx,%c3%89xodo,35,14,"candelabro tlen tlauis uan tlamantli tlen kipias, tlauiltin uan aceite para tlauili,"
es,%c3%89xodo,35,14,"el candelabro para alumbrar, sus utensilios, sus lámparas y el aceite para el alumbrado;"
ncx,%c3%89xodo,35,15,"altar kanin kichichinoskej kopali, tlakomej tlen kinpias, aceite santo uan kopali ajuiak, tsotsoli tlen yetos ikaltempa tabernáculo,"
es,%c3%89xodo,35,15,el altar del incienso y sus varas; el aceite de la unción y el incienso aromático; la cortina para la entrada del tabernáculo;
ncx,%c3%89xodo,35,16,"altar kanin kichichinoskej tetliokolil, parrilla de cobre, tlakomej tlen kinpias uan nochi tlen ompa monejnekis, akaxitl uan tlen ipan moketos,"
es,%c3%89xodo,35,16,"el altar de la ofrenda quemada, su rejilla de cobre, sus varas y todos sus utensilios; la fuente con su base;"
ncx,%c3%89xodo,35,17,"tsotsoltin tlen yetoskej kiauak, itlaketsaluan uan kanin motlakxilijtoskej, tsotsoli tlen yetos kaltempa,"
es,%c3%89xodo,35,17,"las cortinas del patio, sus columnas y sus bases; la cortina de la entrada al patio;"
ncx,%c3%89xodo,35,18,"iestacas tabernáculo, estacas tlen yetoskej kiauak uan mekatl tlen ika tlailpiskej,"
es,%c3%89xodo,35,18,"las estacas para el tabernáculo, las estacas para el patio y sus cuerdas,"
ncx,%c3%89xodo,35,19,"tlakenmej tlen kuali kinmijkitiskej para akinmej tlapaleuiskej kanin santo, itlaken santo teopixki Aarón uan intlaken ikoneuan para tlapaleuiskej ken teopixkej’”."
es,%c3%89xodo,35,19,"y las prendas de vestir finamente tejidas para servir en el santuario, las prendas de vestir santas para el sacerdote Aarón y las prendas de vestir de sus hijos para servir de sacerdotes’”."
ncx,%c3%89xodo,35,20,Satepan oyajkej nochtin israelitas tlen okatkaj ixpan Moisés.
es,%c3%89xodo,35,20,De modo que todo el pueblo de Israel se retiró de la presencia de Moisés.
ncx,%c3%89xodo,35,21,"Nochtin akinmej omoyolinijkej uan okinekej okiuikakej seki tlamantli para Jehová. Non monejnekiskia para kichiuaskiaj kalnechikol, ijkon kipiaskia nochi tlen moneki para tekitl tlen ompa mochiuaskia uan para kinchiuaskiaj tlakenmej santos."
es,%c3%89xodo,35,21,"Luego todos los que se sintieron motivados por su corazón y su espíritu empezaron a llevar su contribución para Jehová. Se usaría para construir la tienda de reunión, para equiparla con todo lo necesario para el servicio que se haría en ella y para hacer las prendas de vestir santas."
ncx,%c3%89xodo,35,22,"Uan oyayaj tlakamej uan siuamej tlen ika nochi inyolo okiuikayaj broches, inpipiloluan, anillos uan okseki tlamantli tlen okimotlaliliayaj uan noijki okseki tlamantli de oro. Nochtin yejuan okitliokolijkej Jehová miak tlamantli de oro."
es,%c3%89xodo,35,22,"Y siguieron yendo hombres y mujeres que de todo corazón llevaban broches, aretes, anillos y otras joyas, así como todo tipo de artículos de oro. Todos ellos le presentaron sus ofrendas de oro a Jehová."
ncx,%c3%89xodo,35,23,"Uan nochtin tlen okipiayaj hilo azul, ichkatsojmitl morado, hilo chichiltik tlen petlani, lino tlen okachi kuali, itsojmio tentso, inmieuayo ichkamej tlen chichiltik kintlapaluiaj uan inmieuayo focas, nochi non okiuikakej."
es,%c3%89xodo,35,23,"Y todos los que tenían hilo azul, lana púrpura, hilo rojo escarlata, lino fino, pelo de cabra, pieles de carnero teñidas de rojo y pieles de foca los llevaron."
ncx,%c3%89xodo,35,24,Nochtin akinmej okinekiayaj kitemakaskej plata uan cobre okiuikakej para Jehová uan nochtin tlen okipiayaj acaciakouitl okiuikakej para mochiuaskia tekitl.
es,%c3%89xodo,35,24,"Todos los que querían donar plata y cobre llevaron su contribución para Jehová, y todos los que tenían la madera de acacia necesaria para el trabajo la llevaron."
ncx,%c3%89xodo,35,25,"Nochtin siuamej tlen okimatiayaj kichiuaskej hilo, okiuikakej tlen okichijkej: hilo azul, ichkatsojmitl morado, hilo chichiltik tlen petlani uan lino tlen okachi kuali."
es,%c3%89xodo,35,25,"Todas las mujeres hábiles hilaron a mano y llevaron lo que habían hilado: hilo azul, lana púrpura, hilo rojo escarlata y lino fino."
ncx,%c3%89xodo,35,26,"Uan nochtin siuamej tlen okimatiayaj kichiuaskej hilo uan omoyolinijkej, okichijkej hilo ika itsojmio tentso."
es,%c3%89xodo,35,26,Y todas las mujeres hábiles que se sintieron motivadas por su corazón hilaron pelo de cabra.
ncx,%c3%89xodo,35,27,Noijki akinmej okiyekanayaj altepetl okiuikakej temej de ónice uan okseki temej para kitlaliliskej efod uan elpantlakemitl.
es,%c3%89xodo,35,27,"Además, los jefes del pueblo llevaron piedras de ónice y otras piedras para ponérselas al efod y al pectoral."
ncx,%c3%89xodo,35,28,"Noijki okiuikakej bálsamo, aceite para tlauili, aceite santo uan aceite para kopali ajuiak."
es,%c3%89xodo,35,28,"También llevaron bálsamo, así como aceite para el alumbrado, para el aceite de la unción y para el incienso aromático."
ncx,%c3%89xodo,35,29,"Nochtin tlakamej uan siuamej tlen omoyolinijkej, itlaj okiuikakej para mochiuaskia tekitl tlen Jehová otlanauati ika Moisés. Israelitas okiuikakej uan okitliokolijkej Jehová ika nochi inyolo."
es,%c3%89xodo,35,29,Todos los hombres y mujeres que se sintieron motivados por su corazón llevaron algo para el trabajo que Jehová había mandado hacer mediante Moisés. Los israelitas lo llevaron como ofrenda voluntaria para Jehová.
ncx,%c3%89xodo,35,30,"Ijkuakon Moisés okinmilui israelitas: “Jehová yokipejpenki Bezalel, ikone Urí, ikone Hur tlen poui itech itribu Judá."
es,%c3%89xodo,35,30,"Entonces Moisés les dijo a los israelitas: “Miren, Jehová ha escogido a Bezalel, hijo de Urí, hijo de Hur, de la tribu de Judá."
ncx,%c3%89xodo,35,31,"ToTajtsin Dios okimakak iespíritu para mayeto ixtlamatki, mateajsikamati uan makimati ken kichiuas tlatlamantli kualtsin tekitl"
es,%c3%89xodo,35,31,"Lo ha llenado con el espíritu de Dios para que tenga sabiduría, entendimiento y conocimientos sobre todo tipo de trabajos artesanales"
ncx,%c3%89xodo,35,32,"uan ijkon uelis kichiuas miak tlamantli kualtsin, noijki tlachiuas ika oro, plata uan cobre,"
es,%c3%89xodo,35,32,"y así pueda hacer diseños artísticos, trabajar el oro, la plata y el cobre,"
ncx,%c3%89xodo,35,33,kitekis uan kinenepanos tetl uan kichiuas miak tlamantli kualtsin ika kouitl.
es,%c3%89xodo,35,33,"cortar y montar piedras, y hacer todo tipo de piezas artísticas de madera."
ncx,%c3%89xodo,35,34,"Uan toTajtsin Dios okinpaleui Bezalel uan Oholiab ikone Ahisamac tlen poui itech itribu Dan, makimatikan kinyekmachtiskej oksekimej."
es,%c3%89xodo,35,34,"Y ha puesto en el corazón de él y de Oholiab hijo de Ahisamac, de la tribu de Dan, la habilidad de enseñar a otros."
ncx,%c3%89xodo,35,35,"Okinpaleui makimatikan kichiuaskej kualtsin tekitl ika inmauan, makimatikan tlayektlaliskej, makimatikan tlajtsomaskej ika hilo azul, ichkatsojmitl morado, hilo chichiltik tlen petlani uan lino tlen okachi kuali uan noijki matlaijkitikan. Nonmej tlakamej kichiuaskej tlatlamantli tekitl uan kiyektlaliskej nochi tlen monekis mochiuas”."
es,%c3%89xodo,35,35,"Los ha llenado de habilidad para hacer trabajos de artesano, de diseñador y de bordador que usa hilo azul, lana púrpura, hilo rojo escarlata y lino fino, así como de tejedor. Estos hombres harán todo tipo de trabajos y prepararán todo tipo de diseños."
ncx,%c3%89xodo,36,1,"“Bezalel tekipanos iuan Oholiab uan nochtin tlakamej tlen kimatij tekipanoskej akinmej Jehová okinmakak ixtlamatilis uan okichi mateajsikamatikan para makimatikan kichiuaskej nochi tekitl kanin santo, ijkon ken Jehová otlanauati”."
es,%c3%89xodo,36,1,"”Bezalel trabajará con Oholiab y con todos los hombres hábiles a quienes Jehová ha dado sabiduría y entendimiento para saber hacer todo el trabajo relacionado con el servicio santo, tal como Jehová ha mandado”."
ncx,%c3%89xodo,36,2,"Ijkuakon Moisés okinnotski Bezalel, Oholiab uan nochtin tlakamej akinmej okimatiayaj tekipanoskej, tlen Jehová okichi mayetokan ixtlamatkej, nochtin akinmej ika nochi inyolo okinekej tlapaleuiskej para mochiuaskia tekitl."
es,%c3%89xodo,36,2,"Entonces Moisés llamó a Bezalel, a Oholiab y a todos los hombres hábiles a quienes Jehová les había puesto sabiduría en el corazón, a todos los que se sintieron motivados por su corazón a ofrecerse para hacer el trabajo."
ncx,%c3%89xodo,36,3,Uan Moisés okinmakak nochi tlamantli tlen israelitas okiuikakej para mamochiua tekitl kanin santo. Pero israelitas nochi kualkan ok okiuikayaj intetliokolil.
es,%c3%89xodo,36,3,Y Moisés les dio a ellos toda la contribución que los israelitas habían llevado para el trabajo relacionado con el servicio santo. Pero los israelitas le seguían llevando ofrendas voluntarias cada mañana.
ncx,%c3%89xodo,36,4,"Ijkuak yopejki tekitl santo, nochtin akinmej okimatiayaj tekipanoskej san omotokatiayaj"
es,%c3%89xodo,36,4,"Después de empezar la obra santa, todos los trabajadores hábiles empezaron a ir uno tras otro"
ncx,%c3%89xodo,36,5,para kiluitiuij Moisés: “Nochtin kiualikatokej okachi miak tlamantli uan amo san tlen moneki para mamochiua tekitl tlen Jehová otlanauati mamochiua”.
es,%c3%89xodo,36,5,a decirle a Moisés: “La gente está trayendo mucho más de lo necesario para el trabajo que Jehová ha mandado hacer”.
ncx,%c3%89xodo,36,6,"Ikinon Moisés otlanauati nochtin makinmiluikan: “Tlakamej uan siuamej, ayakmo itlaj xikualikakan para mamochiua tabernáculo”. Ijkon ayakmo okinkauilijkej itlaj makiuikakan."
es,%c3%89xodo,36,6,"De modo que Moisés ordenó que se anunciara por todo el campamento lo siguiente: “Hombres y mujeres, dejen de traer materiales para la contribución santa”. Así fue como se le impidió al pueblo seguir llevando cosas."
ncx,%c3%89xodo,36,7,Okatka miak tlamantli para mochiuaskia tekitl. Okatka okachi miak uan amo san tlen omonekiaya.
es,%c3%89xodo,36,7,"Había suficientes materiales para el trabajo que se iba a hacer. De hecho, había más que suficientes."
ncx,%c3%89xodo,36,8,"Ijkuakon nochtin akinmej okimatiayaj tekipanoskej, okichijkej tabernáculo ika majtlaktli tsotsoltin tlen okinchijkej ika hilo de lino tlen okachi kuali, hilo azul, ichkatsojmitl morado uan hilo chichiltik tlen petlani. Ye okinmijtsomili querubines."
es,%c3%89xodo,36,8,"Entonces, todos los trabajadores hábiles hicieron el tabernáculo con 10 telas de tienda de lino fino retorcido, hilo azul, lana púrpura e hilo rojo escarlata. Él las hizo con querubines bordados."
ncx,%c3%89xodo,36,9,Sejse tsotsoli okipiaya kanaj doce metros uan tlajko ik ueyak uan kanaj ome metros ik patlauak. Nochtin tsotsoltin ijkon okatkaj.
es,%c3%89xodo,36,9,Cada tela medía 28 codos de largo y 4 codos de ancho. Todas las telas medían lo mismo.
ncx,%c3%89xodo,36,10,Ye okinsasalo makuili tsotsoltin uan oksekan okinsasalo ok makuili tsotsoltin.
es,%c3%89xodo,36,10,"Entonces unió cinco telas y, por separado, unió las otras cinco."
ncx,%c3%89xodo,36,11,"Satepan itempa tsotsoli okitlalili ika hilo azul tlen ika motsikojtoskia, kanin mosetiliskia iuan okse tsotsoli. Noijki ijkon okichi itempa okse tsotsoli kanin monamikiskia iuan tsotsoli tlen achto okisasalo."
es,%c3%89xodo,36,11,"Después hizo presillas de hilo azul en el borde de la primera serie de telas, donde se juntaría con la segunda serie. Hizo lo mismo en el borde de la tela que está al extremo de la segunda serie, allí donde se juntaría con la primera serie."
ncx,%c3%89xodo,36,12,"Itempa achto tsotsoli tlen okisasalo, okichiuili cincuenta tlen ika motsikoskia uan itempa okse tsotsoli noijki okichiuili cincuenta tlen ika motsikoskia kanin monamikiskiaj ome tsotsoltin. Okintlali mamonamiktokan."
es,%c3%89xodo,36,12,"Hizo 50 presillas en el borde de una serie y 50 presillas en el extremo de la otra serie, donde ambas series se juntarían. Las hizo de manera que quedaran unas frente a otras."
ncx,%c3%89xodo,36,13,Saiktlami okinchi cincuenta broches de oro uan ika okintsiko ome tsotsoltin tlen okinsasalo. Ijkon omochi tabernáculo.
es,%c3%89xodo,36,13,"Por último, hizo 50 broches de oro y con ellos unió las dos series de telas, de modo que el tabernáculo formó una unidad."
ncx,%c3%89xodo,36,14,Noijki okinchi tsotsoltin ika itsojmio tentso para kintlaliskiaj ipan tabernáculo. Okinchi 11 tsotsoltin para kintlaliskej ipan tabernáculo.
es,%c3%89xodo,36,14,Luego hizo telas de pelo de cabra para la tienda que cubre el tabernáculo. Hizo 11 telas de tienda.
ncx,%c3%89xodo,36,15,"Sejse tsotsoli okipiaya kanaj trece metros ik ueyak uan kanaj ome metros ik patlauak, once tsotsoltin ijkon okatkaj."
